Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
palm,0.0205030660745504,0.0541706125316092,0.109712764567336,0,0,0,0.0557319590388206,5.64555016716926E-05,-4.48648696513966E-20,-1.34034792654271E-19,1.18929852629606E-05,-3.46262361865482E-06,4.68465572915269E-05,0,0,0,0,0,0,package://Hand-Assem-By-Part-URDF.SLDASM/meshes/palm.STL,0.501960784313725,1,0.501960784313725,1,0,0,0,0,0,0,package://Hand-Assem-By-Part-URDF.SLDASM/meshes/palm.STL,,Palm-Frame-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
ff,-1.38777878078145E-17,-0.00750000000000015,-0.00410030127828349,0,0,0,0.00192127930221582,9.39940947687055E-08,-7.53054638477379E-23,1.72926647655636E-22,7.41983872586434E-08,-1.01061913610577E-24,3.96461361618716E-08,0,0,0,0,0,0,package://Hand-Assem-By-Part-URDF.SLDASM/meshes/ff.STL,0.988235294117647,0.737254901960784,0.517647058823529,1,0,0,0,0,0,0,package://Hand-Assem-By-Part-URDF.SLDASM/meshes/ff.STL,,Finger-Base-2,Origin_ff-base,Axis_ff-base,ff-base,continuous,0.013003,-0.094709,0.09945,-3.1416,0,-1.5708,palm,0,1,0,,,,,,,,,,,,
ff-s1,7.07767178198537E-16,7.11236625150491E-16,-0.0100000000000005,0,0,0,0.00141557768550297,8.38059118781398E-08,6.15326845318188E-25,1.81647377381412E-22,8.96433788186838E-08,-4.57543056219547E-22,2.98708462926757E-08,0,0,0,0,0,0,package://Hand-Assem-By-Part-URDF.SLDASM/meshes/ff-s1.STL,0.988235294117647,0.737254901960784,0.517647058823529,1,0,0,0,0,0,0,package://Hand-Assem-By-Part-URDF.SLDASM/meshes/ff-s1.STL,,Finger-S1-1,Origin_ff-s1,Axis_ff-s1,ff-s1,continuous,0,-0.00750000000000014,-0.0122722944655069,0,0,3.14159265358979,ff,1,0,0,,,,,,,,,,,,
ff-s2,-8.99426584904939E-07,-6.24500451351651E-17,-0.01,0,0,0,0.00181277282792487,1.24760361831459E-07,1.57233847913635E-24,3.59384736901931E-22,1.21137686552032E-07,-6.2190806297965E-22,2.16724299242668E-08,0,0,0,0,0,0,package://Hand-Assem-By-Part-URDF.SLDASM/meshes/ff-s2.STL,0.988235294117647,0.737254901960784,0.517647058823529,1,0,0,0,0,0,0,package://Hand-Assem-By-Part-URDF.SLDASM/meshes/ff-s2.STL,,Finger-S2-1,Origin_ff-s2,Axis_ff-s2,ff-s2,continuous,0,0,-0.0200000000000004,0,0,0,ff-s1,1,0,0,,,,,,,,,,,,
ff-s3,-7.38421858381688E-08,0.000163857846701972,-0.00823936350944077,0,0,0,0.00125733648922937,5.04557790777882E-08,-3.19441837775366E-13,-2.40414573247444E-13,5.37916659519628E-08,4.80442439733466E-10,2.17253936875594E-08,0,0,0,0,0,0,package://Hand-Assem-By-Part-URDF.SLDASM/meshes/ff-s3.STL,0.988235294117647,0.737254901960784,0.517647058823529,1,0,0,0,0,0,0,package://Hand-Assem-By-Part-URDF.SLDASM/meshes/ff-s3.STL,,Finger-S3-1,Origin_ff-s3,Axis_ff-s3,ff-s3,continuous,0,0,-0.02,0,0,0,ff-s2,1,0,0,,,,,,,,,,,,
mf,2.4980018054066E-16,-0.0075,0.00410030127828347,0,0,0,0.00192127930221582,9.39940947687055E-08,2.70603619100207E-24,-3.4057352264281E-21,7.41983872586434E-08,-4.24049389304335E-24,3.96461361618716E-08,0,0,0,0,0,0,package://Hand-Assem-By-Part-URDF.SLDASM/meshes/mf.STL,0.988235294117647,0.737254901960784,0.517647058823529,1,0,0,0,0,0,0,package://Hand-Assem-By-Part-URDF.SLDASM/meshes/mf.STL,,Finger-Base-3,Origin_mf-base,Axis_mf-base,mf-base,continuous,0.013003,-0.10771,0.10945,0,0.0027726,1.5708,palm,0,1,0,,,,,,,,,,,,
mf-s1,2.63677968348475E-16,0,0.01,0,0,0,0.00141557768550297,8.38059118781396E-08,-2.53517594074341E-24,-1.21780373213412E-21,8.96433788186836E-08,2.96477726583667E-23,2.98708462926757E-08,0,0,0,0,0,0,package://Hand-Assem-By-Part-URDF.SLDASM/meshes/mf-s1.STL,0.988235294117647,0.737254901960784,0.517647058823529,1,0,0,0,0,0,0,package://Hand-Assem-By-Part-URDF.SLDASM/meshes/mf-s1.STL,,Finger-S1-2,Origin_mf-s1,Axis_mf-s1,mf-s1,continuous,0,-0.00749999999999997,0.0122722944655068,0,0,0,mf,1,0,0,,,,,,,,,,,,
mf-s2,-8.99426585390661E-07,6.93889390390723E-18,0.00999999999999998,0,0,0,0.00181277282792487,1.24760361831459E-07,1.41117961420783E-24,-2.29625984279574E-21,1.21137686552032E-07,-6.67760288250939E-23,2.16724299242668E-08,0,0,0,0,0,0,package://Hand-Assem-By-Part-URDF.SLDASM/meshes/mf-s2.STL,0.988235294117647,0.737254901960784,0.517647058823529,1,0,0,0,0,0,0,package://Hand-Assem-By-Part-URDF.SLDASM/meshes/mf-s2.STL,,Finger-S2-2,Origin_mf-s2,Axis_mf-s2,mf-s2,continuous,0,0,0.02,0,0,0,mf-s1,1,0,0,,,,,,,,,,,,
mf-s3,-7.35388208383814E-08,-0.00016385873738789,0.00823936637819031,0,0,0,0.00125733690505109,5.04557824415712E-08,3.16853906665117E-13,2.43300425245568E-13,5.37916806912445E-08,4.80470864067166E-10,2.17253810006459E-08,0,0,0,0,0,0,package://Hand-Assem-By-Part-URDF.SLDASM/meshes/mf-s3.STL,0.988235294117647,0.737254901960784,0.517647058823529,1,0,0,0,0,0,0,package://Hand-Assem-By-Part-URDF.SLDASM/meshes/mf-s3.STL,,Finger-S3-2,Origin_mf-s3,Axis_mf-s3,mf-s3,continuous,0,0,0.02,0,0,0,mf-s2,1,0,0,,,,,,,,,,,,
rf-pf,-0.0102295976802924,3.35861206901544E-10,-0.000813337817233792,0,0,0,0.00348118991978439,1.36456953375965E-07,-1.22095432343902E-14,-6.08645983537688E-08,2.80536933052879E-07,-3.29458309041941E-15,2.70184388863249E-07,0,0,0,0,0,0,package://Hand-Assem-By-Part-URDF.SLDASM/meshes/rf-pf.STL,1,0.501960784313725,1,1,0,0,0,0,0,0,package://Hand-Assem-By-Part-URDF.SLDASM/meshes/rf-pf.STL,,Pinky+Ring-Finger-Mount-3,Origin_rf-pf-mount,Axis_rf-pf-mount,rf-pf-mount,continuous,0.020503,-0.11847,0.093709,0,-0.0032256,1.5708,palm,0.86603,0,0.5,,,,,,,,,,,,
rf,1.67921232474555E-15,3.55618312575245E-15,-0.00410030127828195,0,0,0,0.00192127930221582,9.39940947687055E-08,-7.31368011878956E-23,1.71312129987118E-22,7.41983872586434E-08,2.14736680682619E-24,3.96461361618716E-08,0,0,0,0,0,0,package://Hand-Assem-By-Part-URDF.SLDASM/meshes/rf.STL,0.988235294117647,0.737254901960784,0.517647058823529,1,0,0,0,0,0,0,package://Hand-Assem-By-Part-URDF.SLDASM/meshes/rf.STL,,Finger-Base-1,Origin_rf-base,Axis_rf-base,rf-base,continuous,-0.00412806613458681,0,0.00747927329036563,-3.14159265358979,-0.0032256273938393,3.14159265358979,rf-pf,0,1,0,,,,,,,,,,,,
rf-s1,-9.71445146547012E-16,1.36349265211777E-15,-0.0100000000000005,0,0,0,0.00141557768550297,8.38059118781398E-08,8.59368567342656E-25,1.6882885549178E-22,8.96433788186837E-08,-4.59422869732838E-22,2.98708462926756E-08,0,0,0,0,0,0,package://Hand-Assem-By-Part-URDF.SLDASM/meshes/rf-s1.STL,0.988235294117647,0.737254901960784,0.517647058823529,1,0,0,0,0,0,0,package://Hand-Assem-By-Part-URDF.SLDASM/meshes/rf-s1.STL,,Finger-S1-3,Origin_rf-s1,Axis_rf-s1,rf-s1,continuous,0,0,-0.0122722944655053,0,0,3.14159265358979,rf,1,0,0,,,,,,,,,,,,
rf-s2,-8.99426586514762E-07,-6.24500451351651E-17,-0.01,0,0,0,0.00181277282792487,1.24760361831459E-07,3.2023592496779E-24,3.28344031642669E-22,1.21137686552032E-07,-6.207997702058E-22,2.16724299242668E-08,0,0,0,0,0,0,package://Hand-Assem-By-Part-URDF.SLDASM/meshes/rf-s2.STL,0.988235294117647,0.737254901960784,0.517647058823529,1,0,0,0,0,0,0,package://Hand-Assem-By-Part-URDF.SLDASM/meshes/rf-s2.STL,,Finger-S2-3,Origin_rf-s2,Axis_rf-s2,rf-s2,continuous,0,0,-0.0200000000000005,0,0,0,rf-s1,1,0,0,,,,,,,,,,,,
rf-s3,-7.38421874896256E-08,0.000163857846701972,-0.00823936350944071,0,0,0,0.00125733648922937,5.04557790777883E-08,-3.19441837768146E-13,-2.40414573330039E-13,5.37916659519629E-08,4.8044243973345E-10,2.17253936875594E-08,0,0,0,0,0,0,package://Hand-Assem-By-Part-URDF.SLDASM/meshes/rf-s3.STL,0.988235294117647,0.737254901960784,0.517647058823529,1,0,0,0,0,0,0,package://Hand-Assem-By-Part-URDF.SLDASM/meshes/rf-s3.STL,,Finger-S3-3,Origin_rf-s3,Axis_rf-s3,rf-s3,continuous,0,0,-0.02,0,0,0,rf-s2,1,0,0,,,,,,,,,,,,
pf,3.1641356201817E-15,-1.49880108324396E-15,-0.00340790607707549,0,0,0,0.00184923522928666,7.78437464086745E-08,-7.37718670211139E-23,-3.96047830420451E-22,5.67595045206384E-08,4.47620543875295E-22,4.06344869026408E-08,0,0,0,0,0,0,package://Hand-Assem-By-Part-URDF.SLDASM/meshes/pf.STL,0.501960784313725,0.501960784313725,1,1,0,0,0,0,0,0,package://Hand-Assem-By-Part-URDF.SLDASM/meshes/pf.STL,,Pinky-Base-2,Origin_pf-base,Axis_pf-base,pf-base,continuous,-0.0159563770643683,0,0.00497927329036527,3.14159265358978,0.0032256273938393,0,rf-pf,0,1,0,,,,,,,,,,,,
