Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
palm,0.0066578,0.033275,0.063201,0,0,0,0.00068883,1.5838E-09,-1.3257E-12,7.5568E-14,3.7846E-09,2.2971E-12,4.2882E-09,0,0,0,0,0,0,package://Main_Assem_URDF.SLDASM/meshes/palm.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Main_Assem_URDF.SLDASM/meshes/palm.STL,,Palm-1;LH_Finger_Ligament_Cover-1;Motor_Cover-1;Back_Cover-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
ff,0.020796,0.017077,-0.013392,0,0,0,0.0091324,1.403E-06,1.1486E-10,-2.2062E-10,9.5752E-07,6.4083E-07,8.759E-07,0,0,0,0,0,0,package://Main_Assem_URDF.SLDASM/meshes/ff.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Main_Assem_URDF.SLDASM/meshes/ff.STL,,1_Proximal-2;LH_1ST_Finger_Topcover_Proximal-1;finger ligament final-1/ff-1/ff-s1 hinge-1,Origin_ff-s1,Axis_ff-s1,ff-s1,continuous,0.015662,-0.058259,-0.014951,-0.7854,-0.087264,-1.2449E-05,palm,1,-0.0019171,0.0019346,,,,,,,,,,,,
ff-s2,0.015018,-0.012318,-0.013933,0,0,0,0.0026371,3.8907E-07,1.129E-10,1.1058E-10,3.2145E-07,-1.6875E-07,1.7773E-07,0,0,0,0,0,0,package://Main_Assem_URDF.SLDASM/meshes/ff-s2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Main_Assem_URDF.SLDASM/meshes/ff-s2.STL,,1_Distal-1;LH_1ST_Finger_Topcover_Distal-1;finger ligament final-1/ff-1/ff-s2 hinge-1,Origin_ff-s2,Axis_ff-s2,ff-s2,continuous,0.0057763,0.031609,-0.031609,1.4333,-0.0014793,-0.0012843,ff,1,0.00082326,0.0012957,,,,,,,,,,,,
mf,0.016107,0.018427,-0.011641,0,0,0,0.0060302,9.2484E-07,2.0084E-09,-2.7079E-10,6.6004E-07,4.1751E-07,5.7901E-07,0,0,0,0,0,0,package://Main_Assem_URDF.SLDASM/meshes/mf.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Main_Assem_URDF.SLDASM/meshes/mf.STL,,2_Proximal-1;LH_2ND_Finger_TopCover_Proximal-1;finger ligament final-1/mf-1/mf-s1 hinge-1,Origin_mf-s1,Axis_mf-s1,mf-s1,continuous,0.0013484,-0.058259,-0.013669,-0.78505,-0.00073987,0.011191,palm,0.99986,0.00090134,-0.016733,,,,,,,,,,,,
mf-s2,0.023339,0.027999,0.049959,0,0,0,0.00021995,3.2806E-09,1.9171E-13,-4.4988E-10,8.573E-09,-2.009E-14,5.4242E-09,0,0,0,0,0,0,package://Main_Assem_URDF.SLDASM/meshes/mf-s2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Main_Assem_URDF.SLDASM/meshes/mf-s2.STL,,finger ligament final-1/mf-1/mf-s2 hinge-1;2_Distal-1;LH_2ND_Finger_TopCover_Distal-1,Origin_mf-s2,,mf-s2,fixed,0.047951,-0.012723,-0.028161,2.3463,-0.14286,-3.0132,mf,0,0,0,,,,,,,,,,,,
rf,0.014915,0.019308,0.029148,0,0,0,0.0073282,8.1716E-07,-3.0809E-09,5.6547E-08,9.5002E-07,2.3991E-08,2.2982E-07,0,0,0,0,0,0,package://Main_Assem_URDF.SLDASM/meshes/rf.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Main_Assem_URDF.SLDASM/meshes/rf.STL,,finger ligament final-1/rf-1/rf-s1 hinge-1;3_Proximal-1;LH_3RD_Finger_TopCover_Proximal-1,Origin_rf-s1,,rf-s1,fixed,0.016536,-0.074974,-0.0048578,-3.1416,-0.16886,3.1416,palm,0,0,0,,,,,,,,,,,,
rf-s2,0.024076,0.031687,0.059715,0,0,0,0.004288,4.1915E-07,3.3734E-10,2.4327E-08,4.967E-07,-1.0795E-08,1.1382E-07,0,0,0,0,0,0,package://Main_Assem_URDF.SLDASM/meshes/rf-s2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Main_Assem_URDF.SLDASM/meshes/rf-s2.STL,,finger ligament final-1/rf-1/rf-s2 hinge-1;3_Distal-1;LH_3RD_Finger_TopCover_Distal-1,Origin_rf-s2,,rf-s2,fixed,-0.012341,-0.014415,0.0046986,0,0,0,rf,0,0,0,,,,,,,,,,,,
pf,0.02515,0.034395,0.049402,0,0,0,0.0057401,4.306E-07,6.1015E-11,-1.7413E-10,5.316E-07,1.4281E-08,1.7727E-07,0,0,0,0,0,0,package://Main_Assem_URDF.SLDASM/meshes/pf.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Main_Assem_URDF.SLDASM/meshes/pf.STL,,finger ligament final-1/pf-1/pf-s1 hinge-1;4_Proximal-1;LH_4TH_Finger_TopCover_Proximal-1,Origin_pf-s1,,pf-s1,fixed,0.010632,-0.090226,0.019136,-3.1416,-0.1761,3.1416,palm,0,0,0,,,,,,,,,,,,
pf-s2,0.027989,0.033501,0.056122,0,0,0,0.00021736,3.0715E-09,2.1793E-14,-9.7453E-11,8.3193E-09,2.8807E-14,5.3791E-09,0,0,0,0,0,0,package://Main_Assem_URDF.SLDASM/meshes/pf-s2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Main_Assem_URDF.SLDASM/meshes/pf-s2.STL,,finger ligament final-1/pf-1/pf-s2 hinge-1;4_Distal-1;LH_4TH_Finger_TopCover_Distal-1,Origin_pf-s2,,pf-s2,fixed,-0.0031506,-0.0018581,0.01981,0,0.0048453,0,pf,0,0,0,,,,,,,,,,,,
t,0.02483,-1.3293E-06,-0.0050153,0,0,0,0.00021267,1.7609E-09,4.4729E-17,1.4826E-09,6.7561E-09,-1.7948E-17,5.0291E-09,0,0,0,0,0,0,package://Main_Assem_URDF.SLDASM/meshes/t.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Main_Assem_URDF.SLDASM/meshes/t.STL,,Thumb-1/t-ligament-1/t-s1 hinge-1;Thumb-1/LH_Thumb_Ligament_Cover-1,Origin_t-s1,Axis_t-s1,t-s1,continuous,0.023022,-0.074861,0.026557,-3.1202,-1.3557,3.094,palm,0.92798,0,-0.37262,,,,,,,,,,,,
